endereco_completo;latitude;longitude
Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
R. Dr. Múcio Galvão, 426 - 01 - Barro Vermelho, Natal - RN, 59022-530, Brazil;-5.8030346;-35.2058524
R. Dr. Múcio Galvão, 426 - 01 - Barro Vermelho, Natal - RN, 59022-530, Brazil;-5.8030346;-35.2058524
R. Dr. Múcio Galvão, 426 - 01 - Barro Vermelho, Natal - RN, 59022-530, Brazil;-5.8030346;-35.2058524
R. Des. Hemetério Fernandes, 1008 - Tirol, Natal - RN, 59015-110, Brazil;-5.7996593;-35.19962510000001
Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
Alameda Rio Negro, 750 - Alphaville, Barueri - SP, 06454-000, Brazil;-23.4991163;-46.8471278
Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
R. Padre Carapuceiro, 910 - Boa Viagem, Recife - PE, 51020-280, Brazil;-8.1162329;-34.9031675
R. Maria Dolores Costa, 95 - 6 - Nova Parnamirim, Parnamirim - RN, 59150-510, Brazil;-5.875234799999999;-35.220548
Rua Agnaldo Gurgel Junior, 1920 - Candelária, Natal - RN, 59066-030, Brazil;-5.845609;-35.2207495
João Pessoa, State of Paraíba, Brazil;-7.119495799999999;-34.8450118
Av. Abreu Lima, 250 - Pitimbú, Natal - RN, 59069-100, Brazil;-5.844338;-35.2416345
João Pessoa, State of Paraíba, Brazil;-7.119495799999999;-34.8450118
Av. Pres. Café Filho, 1750 - 0296 - Praia do Meio, Natal - RN, 59010-390, Brazil;-5.7692979;-35.1961287
Av. Eng. Hildebrando de Góis, 221 - Ribeira, Natal - RN, 59010-700, Brazil;-5.774318099999999;-35.2044492
R. Santa Cecília, 1839 - Candelária, Natal - RN, 59065-570, Brazil;-5.8344176;-35.2195048
Praça Miguel de Cervantes, 60 - 503 - Ilha do Leite, Recife - PE, 50070-520, Brazil;-8.0664895;-34.89381729999999
Loteamento Solar dos Ipês - Rua João Veras, s/n - Santo Antônio do Potengi, São Gonçalo do Amarante - RN, 59290-000, Brazil;-5.786518999999999;-35.3047853
Av. Mascarenhas de Morais, 2409 - Chácaras Rio-Petrópolis, Duque de Caxias - RJ, 25230-030, Brazil;-22.6782205;-43.3026165
R. João Célso Filho, 1950 - Lagoa Nova, Natal - RN, 59064-320, Brazil;-5.8286004;-35.2232475
Rua Djair Dantas Pereira de Macedo, 1371 - Lagoa Seca, Natal - RN, 59022-370, Brazil;-5.8098259;-35.2089234
R. Princesa Isabel, 524 - LOJA 01 E 02 - Cidade Alta, Natal - RN, 59025-400, Brazil;-5.784746;-35.205543
Av. Eng. Hildebrando de Góis, 221 - Ribeira, Natal - RN, 59010-700, Brazil;-5.774318099999999;-35.2044492
R. João Alves de Melo, 1464 - Lagoa Nova, Natal - RN, 59054-350, Brazil;-5.8125693;-35.2184323
R. Mirassol, 1584 - Guarapes, Natal - RN, 59074-827, Brazil;-5.8511733;-35.2510888
R. Salvador Melone, 41 - Vila Renata, Guarulhos - SP, 07056-100, Brazil;-23.4610237;-46.5642268
R. Padre João Álvares, 436 - Vila Renata, Guarulhos - SP, 07056-090, Brazil;-23.4621423;-46.5640254
Av. Tambore, 576 - Tamboré, Barueri - SP, 06460-000, Brazil;-23.5013714;-46.8426196
R. Água M.nha, 230 - Lagoa Nova, Natal - RN, 59076-200, Brazil;-5.830008299999999;-35.2023367
R. Mermoz, 150 - Cidade Alta, Natal - RN, 59025-250, Brazil;-5.7899525;-35.2099956
Rua Coronel Joaquim Correia, 3310 - Candelária, Natal - RN, 59064-410, Brazil;-5.832336;-35.221659
Rua José de Alencar, 807 - SALA  203                 ANDAR 1 - Prata, Campina Grande - PB, 58400-500, Brazil;-7.22152;-35.8998343
R. Artur Temóteo, 231 - Fatima, Fortaleza - CE, 60055-350, Brazil;-3.7457626;-38.5242261
Av. Alm. Alexandrino de Alencar, 753 - 17 - Lagoa Seca, Natal - RN, 59030-350, Brazil;-5.8010645;-35.2115267
Rodovia Empresário João Santos Filho, 3705 - Muribeca, Jaboatão dos Guararapes - PE, 54352-240, Brazil;-8.157928799999999;-34.9726815
Av. Maranguape, 937 - Nossa Sra. da Apresentação, Natal - RN, 59114-002, Brazil;-5.758215499999999;-35.2610491
Av. Romualdo Galvão, 2109 - Lagoa Nova, Natal - RN, 59056-190, Brazil;-5.818184599999999;-35.2100815
Via Costeira Sen. Dinarte Medeiros Mariz, 4077 - Parque das Dunas, Natal - RN, 59090-060, Brazil;-5.8269547;-35.1830137
